+------+------------------------------+-----------------------+------------+-----------+--------+--------+---------+
|  id  |             name             |         class         |    mass    | discovery |  year  |  lat   |  long   |
| 251  | Northwest Africa 5711        | L5                    | 2140.2     | Found     | NULL   | 0.0    | 0.0     |
| 252  | Northwest Africa 5713        | L5                    | 92.5       | Found     | NULL   | 0.0    | 0.0     |
| 253  | Northwest Africa 5714        | L5                    | 106.3      | Found     | NULL   | 0.0    | 0.0     |
| 254  | Northwest Africa 5782        | Acapulcoite/lodranite | 130.0      | Found     | NULL   | 0.0    | 0.0     |
| 255  | Northwest Africa 5789        | Martian (shergottite) | 49.0       | Found     | NULL   | 0.0    | 0.0     |
| 256  | Northwest Africa 5807        | H3                    | 50.0       | Found     | NULL   | 0.0    | 0.0     |
| 257  | Northwest Africa 5808        | H3.15                 | 730.0      | Found     | NULL   | 0.0    | 0.0     |
| 258  | Northwest Africa 5815        | L5                    | 256.8      | Found     | NULL   | 0.0    | 0.0     |
| 259  | Northwest Africa 5819        | L4                    | 147.0      | Found     | NULL   | 0.0    | 0.0     |
| 260  | Northwest Africa 5828        | H5                    | 2799.0     | Found     | NULL   | 0.0    | 0.0     |
| 261  | Northwest Africa 5838        | H6                    | 1438.7     | Found     | NULL   | 0.0    | 0.0     |
| 262  | Northwest Africa 5844        | L5                    | 1000.0     | Found     | NULL   | 0.0    | 0.0     |
| 263  | Northwest Africa 5845        | L5                    | 3000.0     | Found     | NULL   | 0.0    | 0.0     |
| 264  | Northwest Africa 5852        | L6                    | 293.0      | Found     | NULL   | 0.0    | 0.0     |
| 265  | Northwest Africa 5853        | L6                    | 74.5       | Found     | NULL   | 0.0    | 0.0     |
| 266  | Northwest Africa 6514        | LL(L)3.1              | 3200.0     | Found     | NULL   | 0.0    | 0.0     |
| 267  | Northwest Africa 6704        | Achondrite-ung        | 8387.0     | Found     | NULL   | 0.0    | 0.0     |
| 268  | Northwest Africa 6853        | L~6                   | 22.28      | Found     | NULL   | 0.0    | 0.0     |
| 269  | Northwest Africa 724         | LL3                   | 1200.0     | Found     | NULL   | 30.23  | -5.87   |
| 270  | Northwest Africa 725         | Acapulcoite           | 3824.0     | Found     | NULL   | 30.6   | -5.05   |
| 271  | Northwest Africa 726         | H4                    | 354.0      | Found     | NULL   | 31.03  | -4.0    |
| 272  | Nova 008                     | L6                    | 4200.0     | Found     | NULL   | NULL   | NULL    |
| 273  | Nova 009                     | H4                    | 7300.0     | Found     | NULL   | NULL   | NULL    |
